#Rank,University,Town
149,Chhattisgarh Swami Vivekananda Technical University,Bhilai
150,Sardar Patel University,Vallabh Vidyanagar
151,Dr. B R Ambedkar National Institute of Technology Jalandhar,Jalandhar
152,Bharati Vidyapeeth University,Pune ...
153,Bilaspur Vishwavidyalaya,Bilaspur
154,Acharya Nagarjuna University,Guntur
155,Jamia Hamdard,New Delhi
156,CEPT University,Ahmedabad
157,Dibrugarh University,Dibrugarh
158,Maulana Azad National Institute of Technology,Bhopal
159,Indraprastha Institute of Information Technology,New Delhi
160,Barkatullah University,Bhopal
161,Dr. Bhimrao Ambedkar University,Agra
162,Visvesvaraya National Institute of Technology,Nagpur
163,Mahatma Gandhi Kashi Vidyapeeth,Varanasi ...
164,Galgotias University,Noida
165,International Institute of Information Technology Bangalore,Bangalore
166,Deen Dayal Upadhyay Gorakhpur University,Gorakhpur
167,"National Institute of Technology, Patna",Patna
168,Madurai Kamaraj University,Madurai
169,Banasthali Vidyapith,Banasthali ...
170,Indian Institute of Technology Patna,Patna
171,All India Institute of Medical Sciences Rishikesh,Rishikesh
172,Punjabi University Patiala,Patiala
173,"National Institute of Technology, Jamshedpur",Jamshedpur
174,"Indian Institute of Science Education and Research, Bhopal",Bhopal
175,Rajiv Gandhi University of Knowledge Technologies,Hyderabad
176,All India Institute of Medical Sciences Raipur,Raipur
177,All India Institute of Medical Sciences Bhopal,Bhopal
178,Indian Institute of Technology Jodhpur,Jodhpur
179,Vel Tech Dr.RR and Dr.SR Technical University,Chennai ...
180,Govind Ballabh Pant University of Agriculture and Technology,Pantnagar
181,Punjab Technical University,Kapurthala
182,"National Institute of Technology, Kurukshetra",Kurukshetra
183,Indira Gandhi Institute of Development Research,Mumbai
184,Utkal University,Bhubaneswar
185,"National Institute of Technology, Hamirpur",Hamirpur
186,"Jawaharlal Nehru Technological University, Kakinada",Kakinada
187,Ravenshaw University,Cuttack
188,Kerala Agricultural University,Thrissur ...
189,Rashtrasant Tukadoji Maharaj Nagpur University,Nagpur
190,Swami Ramanand Teerth Marathwada University,Nanded
191,National Law School of India University,Bangalore
192,Acharya N.G. Ranga Agricultural University,Hyderabad
193,Maharaja Ganga Singh University,Bikaner
194,Sant Gadge Baba Amravati University,Amravati
195,Indian Institute of Foreign Trade,New Delhi
196,Presidency University,Kolkata
