Course_Name,Link
Master of Arts in Applied Language Studies,https://www.studyinnewzealand.govt.nz/study-options/course/details?courseid=2154371&institutionid=142314&course=Master-of-Arts-in-Applied-Language-Studies
Master of Arts in Psychology,https://www.studyinnewzealand.govt.nz/study-options/course/details?courseid=57260560&institutionid=142314&course=Master-of-Arts-in-Psychology
Master of Business - Accounting Specialisation,https://www.studyinnewzealand.govt.nz/study-options/course/details?courseid=2141995&institutionid=142314&course=Master-of-Business---Accounting-Specialisation
Master of Business - Business Information Systems Specialisation,https://www.studyinnewzealand.govt.nz/study-options/course/details?courseid=57259956&institutionid=142314&course=Master-of-Business---Business-Information-Systems-Specialisation
Master of Business - Economics Specialisation,https://www.studyinnewzealand.govt.nz/study-options/course/details?courseid=57259960&institutionid=142314&course=Master-of-Business---Economics-Specialisation
Master of Business - Finance Specialisation,https://www.studyinnewzealand.govt.nz/study-options/course/details?courseid=57259964&institutionid=142314&course=Master-of-Business---Finance-Specialisation
Master of Business - International Business Specialisation,https://www.studyinnewzealand.govt.nz/study-options/course/details?courseid=57259972&institutionid=142314&course=Master-of-Business---International-Business-Specialisation
Master of Business - Management Specialisation,https://www.studyinnewzealand.govt.nz/study-options/course/details?courseid=57259976&institutionid=142314&course=Master-of-Business---Management-Specialisation
Master of Business - Marketing Specialisation,https://www.studyinnewzealand.govt.nz/study-options/course/details?courseid=57259980&institutionid=142314&course=Master-of-Business---Marketing-Specialisation
Master of Business - Sport Leadership and Management Specialisation,https://www.studyinnewzealand.govt.nz/study-options/course/details?courseid=57259984&institutionid=142314&course=Master-of-Business---Sport-Leadership-and-Management-Specialisation
Master of Communication Studies,https://www.studyinnewzealand.govt.nz/study-options/course/details?courseid=2144491&institutionid=142314&course=Master-of-Communication-Studies
Master of Computer and Information Sciences,https://www.studyinnewzealand.govt.nz/study-options/course/details?courseid=2145859&institutionid=142314&course=Master-of-Computer-and-Information-Sciences
Master of Construction Management,https://www.studyinnewzealand.govt.nz/study-options/course/details?courseid=56816250&institutionid=142314&course=Master-of-Construction-Management
Master of Creative Technologies,https://www.studyinnewzealand.govt.nz/study-options/course/details?courseid=53025952&institutionid=142314&course=Master-of-Creative-Technologies
Master of Creative Writing,https://www.studyinnewzealand.govt.nz/study-options/course/details?courseid=2154592&institutionid=142314&course=Master-of-Creative-Writing
Master of Cultural and Creative Practice,https://www.studyinnewzealand.govt.nz/study-options/course/details?courseid=57095668&institutionid=142314&course=Master-of-Cultural-and-Creative-Practice
Master of Design,https://www.studyinnewzealand.govt.nz/study-options/course/details?courseid=57095676&institutionid=142314&course=Master-of-Design
Master of Education,https://www.studyinnewzealand.govt.nz/study-options/course/details?courseid=2149615&institutionid=142314&course=Master-of-Education
